pt_group,maternal_specimen,child_specimen,partner_specimen,visit,visit_participant,pt_num_y2024,pt_num_y2025,pt_num_y2026,pt_num_y2027,pt_num_y2028,pt_num_y2029,pt_num_y2030
0-5M,0,1,0,0_5_months,0_5_months_child,2442,4306,6200,6202,6200,6200,3005
0-5M,1,0,0,0_5_months,0_5_months_maternal,2442,4306,6200,6202,6200,6200,3005
11-17Y,0,1,0,11_17_years,11_17_years_child,5155,6183,7090,7570,7983,8213,8278
12-23M,0,1,0,12_23_months,12_23_months_child,1638,2902,4306,6200,6200,6200,6200
18-20Y,0,1,0,18_20_years,18_20_years_child,884,662,825,1187,1737,2589,3444
24-35M,0,1,0,24_35_months,24_35_months_child,1290,1132,2902,4306,6200,6200,6200
24-35M,1,0,0,24_35_months,24_35_months_maternal,1290,1132,2902,4306,6200,6200,6200
3-5Y,0,1,0,3_5_years,3_5_years_child,3274,3328,3696,5455,9334,14531,17838
6-10Y,0,1,0,6_10_years,6_10_years_child,5489,5480,5574,5670,6171,5936,7531
6-11M,0,1,0,6_11_months,6_11_months_child,460,4306,6200,6200,6200,6200,3005
6-11M,1,0,0,6_11_months,6_11_months_maternal,460,4306,6200,6200,6200,6200,3005
6-11M (Partner),0,0,1,6_11_months,6_11_months_partner,1,2368,3410,3410,3410,3410,1653
Delivery,0,1,0,perinatal,perinatal_child,2442,4306,6200,6200,6200,6200,3005
Delivery,1,0,0,perinatal,perinatal_maternal,2442,4306,6200,6200,6200,6200,3005
P-Early,1,0,0,preg_early,preg_early_maternal,6200,6200,6200,6200,6200,1114,0
P-Late,1,0,0,preg_third_tri,preg_third_tri_maternal,4306,6200,6200,6200,6200,3005,0
