Specimen,specimen_clean,Kits_Needed_2024_p1,Kits_Needed_2024_p2,Kits_Needed_2025_p1,Kits_Needed_2025_p2,Kits_Needed_2026_p1,Kits_Needed_2026_p2,Kits_Needed_2027_p1,Kits_Needed_2027_p2,Kits_Needed_2028_p1,Kits_Needed_2028_p2,Kits_Needed_2029_p1,Kits_Needed_2029_p2,Kits_Needed_2030_p1,Kits_Needed_2030_p2
Child Saliva,child_saliva_core,0,0,3861,0,0,3223,0,0,10828,0,0,0,0,0
Child Hair,child_hair_core,1720,1772,3367,3367,13220,11953,20097,18209,7192,6083,23605,21167,27885,25526
Child Urine (diaper),child_urine_diaper_core,2565,2642,4995,4995,7192,6083,7195,6085,7192,6083,7192,6083,3486,2948
Child Urine (diaper) - Specialized,child_urine_diaper_specialized,1187,1223,2323,2323,3447,2915,4963,4197,4963,4197,4963,4197,4963,4197
Child Urine (hat),child_urine_hat_core,0,0,3861,3861,0,0,0,0,10828,10175,0,0,0,0
Child Urine (cup),child_urine_cup_core,0,0,13530,13530,0,0,0,0,16419,6727,0,0,0,0
Child Urine Card,child_urine_card,,,,0,,0,,0,,0,,0,,0
Child Blood Spot (Newborn _ 2),child_blood_spot_0_2,4284,4413,8362,3367,12187,4694,14387,6758,14384,6758,14384,6758,10678,6758
Child Blood Spot (2+),child_blood_spot_gt_2,0,0,4629,4629,0,0,0,0,12843,20769,0,0,0,0
Child Whole Blood,child_whole_blood_core,0,0,13530,13530,0,0,0,0,16419,6727,0,0,0,0
Child Whole Blood - Specialized,child_whole_blood_specialized,0,0,0,0,0,0,6451,0,0,0,0,0,0,0
Child Blood Spot - Specialized,child_blood_spot_specialized,,,,0,,0,,6062,,0,,0,,0
Child Shed Teeth ,child_tooth_core,14614,15053,17390,17390,18978,14207,21687,15027,27247,16446,33269,17007,39031,19177
Child Stool,child_stool_core,2565,2642,4995,4995,7192,6083,7195,6085,7192,6083,7192,6083,3486,2948
Child Stool - Specialized,child_stool_specialized,1495,1539,4064,4064,14905,8411,8140,4810,9062,5677,17217,8395,16196,12381
Nasal Swab - Specialized,child_nasal_swab_specialized,1805,7667,3096,3096,11050,6898,6203,4326,6905,4326,17551,11465,5719,3211
Cord Blood,child_cord_blood_core,2565,2642,4995,2498,7192,2028,7192,2028,7192,2028,7192,2028,3486,983
Placenta (Tier 1),maternal_placenta_tier1_core,2565,2642,4995,1499,7192,2028,7192,2028,7192,2028,7192,2028,3486,983
Placenta (Tier 2),maternal_placenta_core,0,2642,0,0,0,0,0,0,0,0,0,0,0,0
Pregnant Individual Saliva (for DNA),maternal_saliva_core,7086,7298,12187,0,14384,0,14387,0,14384,0,10678,0,3486,0
Pregnant Individual Whole blood,maternal_whole_blood_core,11032,11363,14384,14384,14384,13516,14384,13516,14384,13516,4779,4490,0,0
Maternal Blood Spot,maternal_blood_spot_core,4284,4413,8362,8362,12187,11452,14387,13519,14384,13516,14384,13516,10678,10034
Pregnant Individual Hair,maternal_hair_core,2565,2642,4995,4995,7192,6083,7195,6085,7192,6083,7192,5745,3486,2948
Pregnant Individual/Maternal Urine,maternal_urine_cup_core,12869,13255,20693,19379,21576,23438,21576,24968,28768,20274,19163,11248,10678,3276
Maternal Stool - Specialized,maternal_stool_specialized,1899,6613,3021,3021,3021,2839,3021,2839,3021,2839,1465,1376,0,0
Breastmilk - Specialized,maternal_breastmilk_specialized,2257,4966,4396,4396,6329,2974,6332,2975,6329,2974,6329,5948,3068,2883
Household Water Sample - Specialized,maternal_water_specialzied,4492,11332,4963,12155,4963,4664,4963,4664,4963,4664,892,838,0,0
Partner Saliva (for epigenetics and DNA),partner_saliva_core,2,2,2747,1374,3956,1487,3956,1487,3956,1487,3956,1487,1918,721
Partner Urine,partner_urine_cup_core,2,2,2747,0,3956,1487,3956,1487,3956,1487,3956,1487,1918,721
Partner Semen,partner_semen_specialized,2,2,2747,0,3956,1487,3956,1487,3956,1487,3956,1487,1918,721
